gu,dong,population
종로구,사직동,9806
종로구,삼청동,2909
종로구,부암동,10333
종로구,평창동,18582
종로구,무악동,8592
종로구,교남동,10634
종로구,가회동,4418
종로구,종로1.2.3.4가동,8448
종로구,종로5.6가동,5656
종로구,이화동,8111
종로구,창신1동,5964
종로구,창신2동,9503
종로구,창신3동,7107
종로구,숭인1동,6388
종로구,숭인2동,10178
종로구,청운효자동,12633
종로구,혜화동,19734
중구,소공동,3011
중구,회현동,5757
중구,명동,3685
중구,필동,4754
중구,장충동,5468
중구,광희동,6416
중구,을지로동,1967
중구,신당5동,10867
중구,황학동,13531
중구,중림동,12801
중구,신당동,9191
중구,다산동,14725
중구,약수동,17354
중구,청구동,14281
중구,동화동,10827
용산구,후암동,18202
용산구,용산2가동,11272
용산구,남영동,8116
용산구,원효로2동,14331
용산구,효창동,10326
용산구,용문동,12455
용산구,이촌1동,28961
용산구,이촌2동,8808
용산구,이태원1동,8764
용산구,이태원2동,10795
용산구,서빙고동,14000
용산구,보광동,15531
용산구,청파동,20496
용산구,원효로1동,16730
용산구,한강로동,22097
용산구,한남동,23761
성동구,왕십리2동,17416
성동구,마장동,23459
성동구,사근동,13512
성동구,행당1동,14363
성동구,행당2동,24151
성동구,응봉동,15824
성동구,금호1가동,15795
성동구,금호4가동,14842
성동구,성수1가1동,16851
성동구,성수1가2동,13738
성동구,성수2가1동,17146
성동구,성수2가3동,11457
성동구,송정동,11143
성동구,용답동,12724
성동구,왕십리도선동,27588
성동구,금호2.3가동,23584
성동구,옥수동,26912
광진구,화양동,25541
광진구,군자동,21903
광진구,중곡1동,16190
광진구,중곡2동,22285
광진구,중곡3동,16902
광진구,중곡4동,29815
광진구,능동,11913
광진구,구의1동,22700
광진구,구의2동,27444
광진구,구의3동,29588
광진구,광장동,35619
광진구,자양1동,23710
광진구,자양2동,26016
광진구,자양3동,28957
광진구,자양4동,21526
동대문구,회기동,12663
동대문구,휘경1동,15362
동대문구,휘경2동,24992
동대문구,청량리동,20432
동대문구,용신동,32602
동대문구,제기동,27017
동대문구,전농1동,30722
동대문구,전농2동,19449
동대문구,답십리2동,29486
동대문구,장안1동,39287
동대문구,장안2동,33339
동대문구,이문1동,21205
동대문구,이문2동,20947
동대문구,답십리1동,29511
중랑구,면목2동,25214
중랑구,면목4동,19270
중랑구,면목5동,14661
중랑구,면목7동,22714
중랑구,상봉1동,24912
중랑구,상봉2동,20214
중랑구,중화1동,20400
중랑구,중화2동,26073
중랑구,묵1동,35588
중랑구,묵2동,19672
중랑구,망우3동,17508
중랑구,신내1동,39831
중랑구,신내2동,21302
중랑구,면목본동,35424
중랑구,면목3.8동,25995
중랑구,망우본동,30784
성북구,돈암1동,15379
성북구,돈암2동,24686
성북구,안암동,16580
성북구,보문동,16123
성북구,정릉1동,18929
성북구,정릉2동,23736
성북구,정릉3동,16847
성북구,정릉4동,25993
성북구,길음1동,36568
성북구,길음2동,17167
성북구,월곡1동,27108
성북구,월곡2동,20396
성북구,장위1동,20449
성북구,장위2동,14106
성북구,장위3동,17359
성북구,성북동,17404
성북구,삼선동,24144
성북구,동선동,16246
성북구,종암동,41353
성북구,석관동,36483
강북구,번1동,19441
강북구,번2동,16544
강북구,번3동,17605
강북구,수유1동,21468
강북구,수유2동,21595
강북구,수유3동,23907
강북구,삼양동,24742
강북구,미아동,22723
강북구,송중동,30934
강북구,송천동,27871
강북구,삼각산동,32118
강북구,우이동,21076
강북구,인수동,31545
도봉구,쌍문1동,22016
도봉구,쌍문2동,19406
도봉구,쌍문3동,16922
도봉구,쌍문4동,19297
도봉구,방학1동,29236
도봉구,방학2동,20473
도봉구,방학3동,27973
도봉구,창1동,25400
도봉구,창2동,29912
도봉구,창3동,14402
도봉구,창4동,27286
도봉구,창5동,25308
도봉구,도봉1동,21810
도봉구,도봉2동,27920
노원구,월계1동,23085
노원구,월계2동,27615
노원구,월계3동,30790
노원구,공릉2동,40360
노원구,하계1동,27965
노원구,하계2동,22723
노원구,중계본동,24942
노원구,중계1동,27556
노원구,중계4동,20752
노원구,상계1동,39204
노원구,상계2동,20692
노원구,상계5동,24797
노원구,상계8동,22963
노원구,상계9동,21221
노원구,상계10동,17631
노원구,상계3.4동,27184
노원구,상계6.7동,33642
노원구,중계2.3동,35586
노원구,공릉1동,38324
은평구,녹번동,37815
은평구,불광1동,40022
은평구,갈현1동,23396
은평구,갈현2동,29239
은평구,구산동,32997
은평구,대조동,27579
은평구,응암1동,31265
은평구,응암2동,27776
은평구,신사1동,27776
은평구,신사2동,20945
